City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Yellowknife,62.456,-114.3525,66.72,45,75,3.44,CA,2022-07-22 02:22:32
1,Avarua,-21.2078,-159.775,77.05,69,40,18.41,CK,2022-07-22 02:24:40
2,Vostok,46.4856,135.8833,62.94,95,100,2.55,RU,2022-07-22 02:24:41
3,Saskylakh,71.9167,114.0833,54.36,60,100,7.72,RU,2022-07-22 02:22:29
4,Butaritari,3.0707,172.7902,81.14,77,29,6.87,KI,2022-07-22 02:24:41
5,Ancud,-41.8697,-73.8203,40.23,94,100,7.09,CL,2022-07-22 02:21:46
6,Albany,42.6001,-73.9662,79.21,72,0,3.65,US,2022-07-22 02:21:30
7,Hithadhoo,-0.6,73.0833,78.17,85,100,13.13,MV,2022-07-22 02:24:42
8,Smithers,54.7804,-127.1743,73.72,38,20,8.05,CA,2022-07-22 02:21:17
9,Turukhansk,65.8167,87.9833,66.69,62,72,12.21,RU,2022-07-22 02:21:51
10,Ponta Do Sol,32.6667,-17.1,70.72,82,7,7.18,PT,2022-07-22 02:24:20
11,Itaituba,-4.2761,-55.9836,78.98,65,100,2.37,BR,2022-07-22 02:24:43
12,Rikitea,-23.1203,-134.9692,74.43,82,99,24.9,PF,2022-07-22 02:23:21
13,College,64.8569,-147.8028,68.32,59,75,9.22,US,2022-07-22 02:24:44
14,Krasnyy Yar,46.5331,48.3456,66.13,75,70,4.54,RU,2022-07-22 02:24:44
15,Longyearbyen,78.2186,15.6401,49.84,87,75,2.3,SJ,2022-07-22 02:24:44
16,Norman Wells,65.282,-126.8329,69.84,64,75,8.05,CA,2022-07-22 02:23:54
17,Novaya Igirma,57.1334,103.9112,72.99,47,88,5.35,RU,2022-07-22 02:24:45
18,Meadow Lake,34.8014,-106.5436,90.84,29,36,14.36,US,2022-07-22 02:24:44
19,Ushuaia,-54.8,-68.3,29.86,93,100,31.07,AR,2022-07-22 02:24:46
20,Mataura,-46.1927,168.8643,43.48,88,100,2.35,NZ,2022-07-22 02:21:27
21,Atuona,-9.8,-139.0333,77.36,71,3,15.05,PF,2022-07-22 02:24:46
22,Sakakah,29.9697,40.2064,87.37,20,1,5.5,SA,2022-07-22 02:24:47
23,Chapais,49.7834,-74.8492,64.18,96,100,11.92,CA,2022-07-22 02:24:47
24,Yerraguntla,14.6372,78.5395,79.25,80,100,12.59,IN,2022-07-22 02:24:47
25,Klaksvik,62.2266,-6.589,47.32,86,99,6.08,FO,2022-07-22 02:23:53
26,Bandarbeyla,9.4942,50.8122,76.62,73,6,26.44,SO,2022-07-22 02:22:06
27,Busselton,-33.65,115.3333,61.2,79,98,10.65,AU,2022-07-22 02:23:30
28,Nakamura,32.9833,132.9333,85.73,54,2,8.61,JP,2022-07-22 02:24:49
29,Loralai,30.3705,68.598,75.2,66,100,2.93,PK,2022-07-22 02:24:49
30,Hermanus,-34.4187,19.2345,52.75,70,100,4.29,ZA,2022-07-22 02:24:49
31,Puerto Ayora,-0.7393,-90.3518,67.55,97,69,5.01,EC,2022-07-22 02:24:50
32,Heinola,61.2056,26.0381,57.99,82,99,4.56,FI,2022-07-22 02:24:50
33,Olinda,-8.0089,-34.8553,73.13,88,40,4.61,BR,2022-07-22 02:22:13
34,Port Elizabeth,-33.918,25.5701,48.49,93,0,4.61,ZA,2022-07-22 02:21:06
35,Indian Head,38.6001,-77.1622,83.35,71,0,5.75,US,2022-07-22 02:24:51
36,Port Macquarie,-31.4333,152.9167,60.89,81,96,15.43,AU,2022-07-22 02:24:51
37,Margate,51.3813,1.3862,63.3,80,16,3.0,GB,2022-07-22 02:24:52
38,Vaini,-21.2,-175.2,77.16,88,40,9.22,TO,2022-07-22 02:24:52
39,East London,-33.0153,27.9116,57.18,78,0,8.32,ZA,2022-07-22 02:24:53
40,Alofi,-19.0595,-169.9187,80.49,65,75,8.05,NU,2022-07-22 02:24:53
41,Codrington,-38.2667,141.9667,57.56,69,100,14.0,AU,2022-07-22 02:22:39
42,Khatanga,71.9667,102.5,59.16,60,100,10.56,RU,2022-07-22 02:24:54
43,Mount Gambier,-37.8333,140.7667,55.11,70,100,12.15,AU,2022-07-22 02:25:54
44,Thinadhoo,0.5333,72.9333,80.73,77,100,18.34,MV,2022-07-22 02:25:55
